execution_id,task,complexity_level,complexity_ord,is_complex,task_length,task_word_count,contains_api,contains_database,contains_jwt,contains_csv,contains_etl,contains_multi_agent,contains_authentication,contains_visualization,contains_python,contains_pipeline,contains_crud,planner_execution_time,planner_prompt_tokens,planner_completion_tokens,planner_total_tokens,coder_execution_time,coder_prompt_tokens,coder_completion_tokens,coder_total_tokens,code_length,code_line_count,tokens_per_line,planner_ratio,coder_ratio,code_density,reviewer_status,revision_required,revision_count,total_execution_time,total_tokens,docker_status,has_docker,docker_execution_time,docker_exit_code,reviewer_execution_time,reviewer_prompt_tokens,reviewer_completion_tokens,reviewer_total_tokens
1,"Analyse les ventes suivantes : 100, 120, 150, 180. Calcule la moyenne et crée un graphique simple.",EASY,1,0,98,17,0,0,0,0,0,0,0,1,0,0,0,12.7297,408,664,1072,20.8195,47060,28982,37331.75,723.25,489,76.18724489795919,0.027913940695895582,0.9720860593041044,1.4760204081632653,REVISION_REQUISE,1,5,462.3891,166203,NOT_EXECUTED,0,,,23.4689,69089,20000,89089
2,Crée une fonction Python qui calcule la moyenne de trois nombres.,EASY,1,0,65,11,0,0,0,0,0,0,0,0,1,0,0,16.6202,395,1201,1596,20.8195,665,3920,4585.0,723.25,238,19.184100418410043,0.2582106455266138,0.7417893544733862,3.026150627615063,APPROVED,0,1,106.7238,12237,SUCCESS,1,14.3283,0.0,23.4689,2706,3350,6056
3,ecris une fct qui fait somme de 2 entiers,EASY,1,0,41,9,0,0,0,0,0,0,0,0,0,0,0,18.1185,394,1077,1471,20.8195,16369,13200,29569.0,723.25,267,110.33208955223881,0.04739046391752577,0.9526095360824742,2.6986940298507465,APPROVED,0,4,295.7248,68783,SKIPPED_INTERACTIVE_INPUT,1,0.0317,,23.4689,24555,13188,37743
4,Créer une fonction qui trie une liste.,EASY,1,0,38,7,0,0,0,0,0,0,0,0,0,0,0,15.1646,389,942,1331,20.8195,18563,16699,35262.0,723.25,388,90.6478149100257,0.03637307681797065,0.9636269231820294,1.8592544987146529,APPROVED,0,4,353.5262,81751,SUCCESS,1,14.8089,0.0,23.4689,29992,15166,45158
5,Créer une fonction qui vérifie si un nombre est premier.,EASY,1,0,56,10,0,0,0,0,0,0,0,0,0,0,0,17.8171,393,1197,1590,20.8195,25169,17872,37331.75,723.25,322,115.578173374613,0.040851195025917386,0.9591488049740826,2.2391640866873064,REVISION_REQUISE,1,5,405.2009,101551,NOT_EXECUTED,0,,,23.4689,36920,20000,56920
6,Créer un programme qui calcule une factorielle.,EASY,1,0,47,7,0,0,0,0,0,0,0,0,0,0,0,15.5708,391,1015,1406,20.8195,2870,5738,8608.0,723.25,226,37.92070484581498,0.14040343519073298,0.859596564809267,3.186123348017621,APPROVED,0,2,157.0882,22999,SKIPPED_INTERACTIVE_INPUT,1,0.0246,,23.4689,6131,6854,12985
7,Créer une API REST simple.,MEDIUM,2,0,26,5,1,0,0,0,0,0,0,0,0,0,0,18.2177,387,866,1253,20.8195,59776,34719,37331.75,723.25,660,56.47768532526475,0.03247396963826382,0.9675260303617362,1.0941754916792739,REVISION_REQUISE,1,5,498.8031,204634,NOT_EXECUTED,0,,,23.4689,88886,20000,108886
8,Créer un programme de visualisation de données.,COMPLEX,3,1,47,7,0,0,0,0,0,0,0,1,0,0,0,19.2196,2998,1186,4184,31.6565,7680,11015,18695.0,393.0,119,155.79166666666666,0.18287512566108657,0.8171248743389135,3.275,REVISION_REQUISE,1,3,58.1537,37824,NOT_EXECUTED,0,,,7.2776,4031,10914,14945
9,Créer un script qui analyse un CSV.,MEDIUM,2,0,35,7,0,0,0,1,0,0,0,0,0,0,0,20.8287,1283,1423,2706,25.6349,5082,4183,9265.0,169.0,49,185.3,0.22604627850639045,0.7739537214936095,3.38,APPROVED,0,1,84.9158,22188,SUCCESS,1,0.3059,0.0,38.1463,3914,6303,10217
10,Créer un système multi-agent.,VERY_COMPLEX,4,1,29,4,0,0,0,0,0,1,0,0,0,0,0,18.8232,3004,2307,5311,38.7329,17507,18289,35796.0,723.25,185,192.4516129032258,0.1291994064271292,0.8708005935728708,3.888440860215054,APPROVED,0,1,77.6016,68183,SUCCESS,1,3.0801,0.0,16.9654,20197,6879,27076
11,Créer une API avec validation des données.,MEDIUM,2,0,42,7,1,0,0,0,0,0,0,0,0,0,0,11.3791,2570,648,3218,33.4744,3744,1562,5306.0,66.0,45,115.34782608695652,0.3775222900046926,0.6224777099953074,1.434782608695652,REVISION_REQUISE,1,3,80.1665,18103,NOT_EXECUTED,0,,,35.313,5618,3961,9579
12,Créer une API REST avec JWT et PostgreSQL.,COMPLEX,3,1,42,8,1,1,1,0,0,0,1,0,0,0,0,19.8436,2362,1716,4078,26.9292,11154,6068,17222.0,196.0,182,94.10928961748634,0.19145539906103287,0.8085446009389672,1.0710382513661203,APPROVED,0,1,82.3788,40469,SUCCESS,1,0.053,0.0,35.5531,13777,5392,19169
13,Créer un programme avec PostgreSQL.,MEDIUM,2,0,35,5,0,1,0,0,0,0,0,0,0,0,0,16.1602,1961,1047,3008,22.5896,1956,1612,3568.0,185.0,44,79.28888888888889,0.45742092457420924,0.5425790754257908,4.111111111111111,APPROVED,0,1,70.5981,11071,SUCCESS,1,3.4472,0.0,28.4012,2972,1523,4495
14,Créer une fonction qui trie une liste.,EASY,1,0,38,7,0,0,0,0,0,0,0,0,0,0,0,7.905,1221,677,1898,26.8147,3455,1104,4559.0,55.0,36,123.21621621621621,0.29394455629549326,0.7060554437045068,1.4864864864864864,APPROVED,0,0,64.2949,10314,SUCCESS,1,1.2806,0.0,28.2946,1826,2031,3857
